sample_index,shift,severity,true_label,predicted_label,correctness,confidence,entropy,feature_distance,ood_score,augmentation_consistency,brightness,contrast,sharpness,composite_quality
68,clean,0,3,5,0,0.7089409,0.7018353,7.945467,5.9604645e-08,1.0,0.30636618,0.22009364,0.06514435,0.29598337
69,clean,0,7,7,1,0.70553976,0.6938965,6.002814,8.940697e-08,0.33333334,0.45287994,0.28562057,0.09247362,0.3237627
70,clean,0,2,2,1,0.78937453,0.55523765,7.6208487,-1.0430813e-07,1.0,0.6423139,0.109440975,0.059891183,0.54724145
71,clean,0,6,6,1,0.9457769,0.23983413,7.9279323,-2.6077032e-08,1.0,0.35146806,0.19142929,0.0435025,0.22724982
72,clean,0,8,8,1,0.99839765,0.012078398,8.416148,-8.731149e-09,1.0,0.63384527,0.15030034,0.08307285,0.5527086
73,clean,0,8,8,1,0.9956463,0.030755112,7.398127,-2.3748726e-08,1.0,0.47152528,0.16784133,0.034949362,0.20822735
74,clean,0,0,0,1,0.9108234,0.41824567,10.266514,-1.1175871e-07,1.0,0.5200125,0.3041601,0.10707158,0.3520226
75,clean,0,2,2,1,0.9996742,0.0034646296,8.379886,1.2980308e-08,1.0,0.4755362,0.1716098,0.05571141,0.32463813
76,clean,0,9,0,0,0.50940555,0.73611504,17.263916,-5.9604645e-08,0.33333334,0.53261083,0.20878373,0.10024595,0.48014024
77,clean,0,3,3,1,0.86159366,0.4755229,11.140876,7.4505806e-08,1.0,0.3920509,0.21497618,0.030950254,0.14396995
78,clean,0,3,3,1,0.57273376,1.2339159,7.369577,-5.9604645e-08,0.6666667,0.28051215,0.2043455,0.031235721,0.15285665
79,clean,0,8,8,1,0.99965274,0.0034307567,7.629665,-1.4260877e-09,1.0,0.8172067,0.23560973,0.136754,0.58042353
80,clean,0,8,8,1,0.99986887,0.0013964195,11.101691,-1.7200364e-08,1.0,0.63675576,0.20843129,0.07994273,0.38354295
81,clean,0,1,1,1,0.9809722,0.12493704,11.318512,-1.2665987e-07,1.0,0.20452537,0.24149203,0.0285615,0.118270494
82,clean,0,1,1,1,0.9999846,0.00020834648,12.30786,-1.1944394e-07,1.0,0.4200904,0.18582566,0.054742858,0.29459098
83,clean,0,7,7,1,0.7218596,0.9927392,7.7984486,-1.4901161e-07,1.0,0.7334214,0.16737422,0.10401191,0.62142956
84,clean,0,2,2,1,0.9805839,0.12334024,7.147514,1.8626451e-09,1.0,0.7227163,0.20318556,0.06948955,0.3419988
85,clean,0,5,9,0,0.45442238,1.6818858,14.86015,5.9604645e-08,0.33333334,0.41554973,0.23483436,0.050786808,0.21626559
86,clean,0,2,0,0,0.6527705,0.8170242,10.081499,5.9604645e-08,0.6666667,0.38967398,0.24921058,0.049065683,0.19688363
87,clean,0,7,7,1,0.25190562,1.7862871,11.082902,0.0,0.33333334,0.70507294,0.28656453,0.08175409,0.28528932
88,clean,0,8,8,1,0.9973853,0.021947987,9.945619,0.0,1.0,0.6228401,0.2610453,0.09313415,0.3567725
89,clean,0,9,9,1,0.99209917,0.047217026,13.9778805,2.142042e-08,1.0,0.50676954,0.1931659,0.08569163,0.44361448
90,clean,0,0,0,1,0.9999838,0.00021316185,17.138168,-2.6375346e-10,1.0,0.5320798,0.17752436,0.07294365,0.41089144
91,clean,0,3,3,1,0.36560518,1.2255358,9.410531,1.1920929e-07,0.33333334,0.33079556,0.1469828,0.025420329,0.17294647
92,clean,0,8,8,1,0.999869,0.0014266646,9.203237,-1.7156708e-08,1.0,0.70565647,0.23615398,0.08636613,0.36571804
93,clean,0,6,6,1,0.99533135,0.03673655,6.406418,-2.3748726e-08,1.0,0.43440184,0.22193563,0.06653811,0.2998068
94,clean,0,4,4,1,0.97696155,0.13041155,5.3614893,7.450581e-09,1.0,0.32320008,0.088907726,0.025287697,0.2844231
95,clean,0,6,6,1,0.8534901,0.49536398,7.642758,-2.9802322e-08,0.6666667,0.5087354,0.18237951,0.11569231,0.63434577
96,clean,0,6,6,1,0.7171779,0.79775757,10.096563,-2.9802322e-08,1.0,0.4027101,0.16640642,0.11083214,0.66602886
97,clean,0,0,0,1,0.9010685,0.39252424,10.923826,1.4901161e-08,1.0,0.5425131,0.08067162,0.033561327,0.41601878
98,clean,0,0,0,1,0.9961196,0.027170382,7.8614845,2.3748726e-08,1.0,0.8138302,0.30425772,0.19709386,0.64778376
99,clean,0,7,7,1,0.7933216,0.8054839,7.0178704,-7.4505806e-08,1.0,0.6225158,0.27163017,0.09881358,0.36377847
100,clean,0,4,4,1,0.9548679,0.2174716,8.736422,7.450581e-09,1.0,0.48539627,0.16618367,0.046771936,0.28144556
101,clean,0,5,5,1,0.8596184,0.5176887,7.6584516,-1.4901161e-08,1.0,0.5303449,0.20156336,0.07443146,0.36926895
102,clean,0,6,6,1,0.98891735,0.07651263,7.5660996,1.5832484e-08,1.0,0.21130514,0.24643168,0.038603183,0.15664798
103,clean,0,3,3,1,0.9589225,0.21227962,11.003756,-1.0430813e-07,0.6666667,0.4948989,0.2982924,0.10353641,0.34709588
104,clean,0,1,1,1,0.99879444,0.009378599,17.24721,-2.4563633e-08,1.0,0.440168,0.21645422,0.12158204,0.56169605
105,clean,0,1,1,1,0.9999535,0.00055985525,8.359029,-1.2136297e-07,1.0,0.71400505,0.3468472,0.15006953,0.4326663
106,clean,0,3,2,0,0.6136623,1.1680098,8.289549,-1.1920929e-07,0.6666667,0.36345866,0.17472138,0.042151593,0.24124897
107,clean,0,6,6,1,0.99344385,0.046102494,7.1016603,6.0535967e-09,1.0,0.2710044,0.14364727,0.046267703,0.32209024
108,clean,0,8,8,1,0.9994667,0.0049417545,12.100032,1.3504177e-08,1.0,0.5292969,0.2648201,0.0832757,0.3144602
109,clean,0,7,7,1,0.71288514,1.0177929,10.947746,0.0,1.0,0.47416893,0.35965538,0.079153694,0.22008143
110,clean,0,4,4,1,0.9709565,0.16152479,9.667942,-2.0489097e-08,1.0,0.43463287,0.24210241,0.06492525,0.26817158
111,clean,0,0,0,1,0.9964791,0.024713673,8.096154,1.6530976e-08,1.0,0.60932267,0.2566494,0.11816873,0.46042678
112,clean,0,6,6,1,0.45519024,1.2220161,13.492533,5.9604645e-08,0.33333334,0.5442785,0.23278052,0.083535746,0.35885903
113,clean,0,2,2,1,0.9998777,0.0013851691,12.251668,-1.4959369e-08,1.0,0.49010167,0.13885495,0.035083458,0.2526608
114,clean,0,1,1,1,0.9965976,0.023048583,12.695695,6.7520887e-09,1.0,0.49751842,0.22971459,0.07538213,0.32815418
115,clean,0,3,3,1,0.942999,0.26036513,8.671723,1.15484e-07,1.0,0.42924836,0.24417435,0.08362277,0.34247017
116,clean,0,0,0,1,0.97398484,0.13511723,10.161381,5.5879354e-09,1.0,0.5522851,0.15505797,0.05692592,0.36712432
117,clean,0,4,4,1,0.75524575,0.9296348,9.435094,8.940697e-08,1.0,0.42628422,0.25700954,0.12863174,0.50049204
118,clean,0,2,6,0,0.68552434,0.89952475,9.158815,-5.9604645e-08,1.0,0.09903622,0.116657905,0.019468192,0.16688132
119,clean,0,7,7,1,0.37612334,1.4857602,8.904042,0.0,0.0,0.45096382,0.25875378,0.09480996,0.3664085
120,clean,0,8,8,1,0.9134583,0.32034212,9.403481,1.4901161e-08,1.0,0.59774435,0.18696779,0.070986286,0.3796692
121,clean,0,3,3,1,0.86118025,0.45183438,11.236455,-1.4901161e-08,1.0,0.29388148,0.23615342,0.030625049,0.1296823
122,clean,0,1,1,1,0.99975866,0.002257909,12.535527,-1.17812306e-07,1.0,0.3693653,0.17371523,0.079215325,0.45600417
123,clean,0,2,2,1,0.99992967,0.00083390996,11.416464,1.1426164e-07,1.0,0.5185457,0.23784041,0.07489262,0.3148847
124,clean,0,8,8,1,0.9146468,0.32996434,5.720662,2.2351742e-08,1.0,0.59864944,0.2104063,0.056132738,0.26678133
125,clean,0,0,0,1,0.84974754,0.5198055,8.589471,2.9802322e-08,0.6666667,0.4463363,0.17254566,0.07980949,0.4625386
126,clean,0,8,8,1,0.97538936,0.12900019,7.585268,-7.450581e-09,1.0,0.4892706,0.15327573,0.045294978,0.29551113
127,clean,0,3,3,1,0.822162,0.62723714,7.723185,1.1920929e-07,1.0,0.4167292,0.23069803,0.05162904,0.22379392
128,clean,0,5,6,0,0.43879178,1.135226,10.394456,0.0,0.6666667,0.44970775,0.2978948,0.07400058,0.24841094
129,clean,0,2,0,0,0.55117214,0.7109914,8.469449,1.1920929e-07,0.33333334,0.59989536,0.14835012,0.07929944,0.53453887
130,clean,0,4,4,1,0.6628895,0.66047394,14.592035,-2.9802322e-08,0.6666667,0.6129136,0.18069248,0.07564098,0.41861486
131,clean,0,1,1,1,0.999925,0.0008193262,11.105755,-5.6097633e-09,1.0,0.63175684,0.27351546,0.17960578,0.65665436
132,clean,0,8,8,1,0.9989974,0.008778112,11.445733,6.9849193e-09,1.0,0.50023234,0.22050542,0.10253993,0.46502015
133,clean,0,9,9,1,0.99986935,0.0013099258,21.18168,-1.7069397e-08,1.0,0.5313062,0.2937994,0.11478339,0.39068493
134,clean,0,1,1,1,0.9777518,0.13344856,10.6849165,2.104789e-07,1.0,0.6470346,0.26302707,0.1317597,0.50093395
135,clean,0,2,2,1,0.99708015,0.023812609,6.9800634,-2.7241185e-08,1.0,0.5552632,0.17739306,0.048832614,0.2752776
136,clean,0,9,9,1,0.9986117,0.010715815,7.9290085,-2.2817403e-08,1.0,0.4484516,0.28323278,0.15664005,0.5530415
137,clean,0,7,7,1,0.50315285,1.0269563,12.279688,-5.9604645e-08,1.0,0.55517006,0.19942482,0.065549076,0.328689
138,clean,0,2,2,1,0.9842502,0.10220256,6.256751,-1.8626451e-08,1.0,0.3732154,0.15539743,0.03734998,0.2403498
139,clean,0,9,0,0,0.86337584,0.51564443,10.656604,1.1920929e-07,0.6666667,0.5556449,0.19162326,0.06475269,0.3379149
140,clean,0,6,6,1,0.9972721,0.02031658,7.5543947,-1.14087015e-08,1.0,0.49198326,0.12234868,0.063393466,0.51813346
141,clean,0,5,5,1,0.9381178,0.28720826,6.539073,-9.685755e-08,1.0,0.5212546,0.2394961,0.07053206,0.2945007
142,clean,0,6,6,1,0.999902,0.0010562822,15.249364,-9.596988e-09,1.0,0.73999566,0.22537899,0.14857782,0.65923256
143,clean,0,3,5,0,0.82192415,0.66065603,7.1028194,0.0,1.0,0.403628,0.19051242,0.034191884,0.17947231
144,clean,0,8,8,1,0.5504093,0.89490515,9.982345,5.9604645e-08,0.6666667,0.5287518,0.31771976,0.07905228,0.24881054
145,clean,0,7,2,0,0.67003006,1.1901779,9.037261,5.9604645e-08,0.6666667,0.6136987,0.24544293,0.09988121,0.40694106
146,clean,0,6,6,1,0.96386504,0.20340745,7.8272924,-1.1175871e-07,1.0,0.23377502,0.1567839,0.027667155,0.1764657
147,clean,0,2,6,0,0.56994015,0.9835807,9.7393055,0.0,0.6666667,0.42166695,0.29452127,0.058460403,0.19849229
148,clean,0,5,5,1,0.53073055,1.1774585,6.9354434,0.0,0.6666667,0.4280548,0.33136585,0.068111286,0.20554645
149,clean,0,2,3,0,0.42579865,1.413201,11.032298,5.9604645e-08,0.6666667,0.38489202,0.268297,0.038100567,0.1420084
150,clean,0,8,0,0,0.6503815,0.9228927,13.265624,-2.9802322e-08,0.33333334,0.54375005,0.2828182,0.16659994,0.5890687
151,clean,0,9,9,1,0.78692627,0.71346146,8.683892,1.4901161e-08,1.0,0.41474164,0.30060416,0.0908511,0.30222732
152,clean,0,6,6,1,0.9751947,0.15917204,6.6885834,1.359731e-07,1.0,0.33021727,0.15570292,0.0440325,0.28279635
153,clean,0,0,0,1,0.9962488,0.031238694,9.042066,1.3969839e-09,1.0,0.61698836,0.2355313,0.15283489,0.64889145
154,clean,0,0,0,1,0.92893404,0.30449438,9.420127,2.0116568e-07,1.0,0.42555532,0.25721502,0.03603142,0.14008233
155,clean,0,5,5,1,0.9139768,0.37598866,10.258691,8.940697e-08,1.0,0.35116935,0.18780974,0.026287196,0.13996641
156,clean,0,2,2,1,0.8982331,0.39147022,6.815363,-7.450581e-09,1.0,0.7104537,0.13885581,0.07901028,0.5690054
157,clean,0,9,9,1,0.99933356,0.0056604776,10.490549,-2.7182978e-08,1.0,0.5311275,0.2603875,0.09179089,0.35251513
158,clean,0,5,3,0,0.597949,0.7301828,9.101364,5.9604645e-08,1.0,0.41315362,0.18392171,0.043444194,0.23620898
159,clean,0,4,4,1,0.99996054,0.00045495675,22.069798,-1.5570549e-09,1.0,0.48212826,0.14610352,0.05188994,0.3551563
160,clean,0,2,0,0,0.8862208,0.4060874,10.147061,2.2351742e-08,1.0,0.60029614,0.23778532,0.07996854,0.33630422
161,clean,0,1,1,1,0.99997544,0.00030145008,14.936689,-6.039045e-10,1.0,0.27722248,0.22065194,0.05823608,0.26392615
162,clean,0,6,5,0,0.6436104,0.9903385,8.628673,5.9604645e-08,0.6666667,0.3994753,0.25417086,0.10440825,0.41077814
163,clean,0,6,6,1,0.99750334,0.020156216,7.7223344,9.313226e-09,1.0,0.3783714,0.16839801,0.06345771,0.3768295
164,clean,0,8,0,0,0.7455814,0.8150169,12.173957,5.9604645e-08,0.6666667,0.631047,0.24467298,0.09174912,0.3749852
165,clean,0,4,2,0,0.93702304,0.24194136,13.555976,-1.2665987e-07,1.0,0.50629467,0.21601373,0.058933135,0.27282
166,clean,0,8,8,1,0.9959686,0.029102297,9.327895,1.3504177e-08,1.0,0.63344055,0.18763469,0.071519,0.38115883
167,clean,0,4,4,1,0.6550572,1.0074617,8.486408,-8.940697e-08,1.0,0.35443094,0.096879475,0.028682841,0.2960642
168,clean,0,5,5,1,0.96452266,0.20041642,7.5918584,-1.4901161e-08,1.0,0.59266114,0.23067664,0.108256355,0.46929714
169,clean,0,0,0,1,0.9512548,0.24129695,8.27288,-1.15484e-07,1.0,0.49169222,0.29439777,0.05712242,0.19403076
170,clean,0,9,9,1,0.99904805,0.0076671964,10.774483,-1.2980308e-08,1.0,0.6189862,0.24291006,0.117538646,0.48387524
171,clean,0,9,9,1,0.5398973,1.0459343,9.905813,-5.9604645e-08,1.0,0.57694167,0.25784466,0.16078466,0.62356937
172,clean,0,9,9,1,0.9894071,0.059589837,7.4312744,1.6763806e-08,1.0,0.53349924,0.12197628,0.054001614,0.44271865
173,clean,0,8,8,1,0.9742877,0.15387446,10.139028,2.7939677e-08,1.0,0.39974472,0.21197423,0.03256139,0.15360941
174,clean,0,9,9,1,0.9451334,0.21752237,15.277454,-3.7252903e-09,1.0,0.39985704,0.20591448,0.1073239,0.52120364
175,clean,0,9,9,1,0.99972326,0.0026087912,10.227959,-1.6996637e-08,1.0,0.5070338,0.31869185,0.11597027,0.3638935
176,clean,0,3,3,1,0.72291696,0.7726639,9.824619,-8.940697e-08,1.0,0.4837176,0.22044455,0.056492954,0.25626716
177,clean,0,7,7,1,0.99015826,0.06870408,8.795361,-1.1175871e-08,1.0,0.42396474,0.18046975,0.064346574,0.3565485
178,clean,0,5,5,1,0.6009202,0.92556924,8.506228,5.9604645e-08,0.33333334,0.42730674,0.1414501,0.017604906,0.124459304
179,clean,0,0,0,1,0.9795673,0.123733714,10.464858,-2.6263297e-07,1.0,0.52765524,0.24894457,0.09109863,0.36593795
180,clean,0,0,0,1,0.49865508,1.1674346,11.319417,1.1920929e-07,0.6666667,0.69225645,0.2572117,0.13059354,0.50772583
181,clean,0,5,5,1,0.8242269,0.50959283,6.2855186,-5.9604645e-08,1.0,0.69434744,0.2532029,0.17816746,0.70365214
182,clean,0,2,2,1,0.99908113,0.007792915,11.13601,-1.0535587e-08,1.0,0.51652116,0.19638738,0.08266715,0.42093706
183,clean,0,2,2,1,0.7537323,0.8500779,7.86185,0.0,1.0,0.45420372,0.0778088,0.03879741,0.49861857
184,clean,0,3,0,0,0.41154143,1.3624842,16.463758,-1.1920929e-07,0.6666667,0.65420884,0.21335916,0.09026267,0.42305306
185,clean,0,8,8,1,0.9999939,8.007648e-05,18.951717,-3.6834535e-11,1.0,0.5561185,0.13260514,0.04426882,0.3338369
186,clean,0,6,2,0,0.4521798,1.2165109,10.135644,0.0,0.33333334,0.18993694,0.14229846,0.025929201,0.18221574
187,clean,0,3,3,1,0.8888481,0.48691112,7.253665,1.1175871e-07,1.0,0.49141264,0.1936213,0.066203915,0.341923
188,clean,0,4,3,0,0.4785026,1.3820982,6.17719,-1.1920929e-07,0.6666667,0.7005897,0.3298024,0.17283611,0.524058
189,clean,0,0,0,1,0.8174756,0.5218999,11.431109,-2.9802322e-08,1.0,0.50290924,0.26630595,0.064742975,0.24311408
190,clean,0,5,5,1,0.9949517,0.03811221,7.6077104,-1.03376806e-07,1.0,0.5877847,0.26109394,0.09922415,0.3800309
191,clean,0,8,8,1,0.97457165,0.15816814,11.136822,-1.1175871e-08,1.0,0.5380247,0.20300882,0.08400048,0.41377547
192,clean,0,0,0,1,0.90399283,0.44718623,9.905295,-1.3411045e-07,1.0,0.44648573,0.2477654,0.06896188,0.27833426
193,clean,0,1,1,1,0.97226036,0.14165296,11.612138,-9.313226e-09,1.0,0.35632023,0.20574492,0.08452579,0.41082606
194,clean,0,7,7,1,0.72461516,0.83803564,8.115187,0.0,1.0,0.42436174,0.16191162,0.06368784,0.39334697
195,clean,0,2,2,1,0.94657296,0.28710505,6.1619883,-9.685755e-08,1.0,0.29751456,0.11440792,0.03275321,0.28628197
196,clean,0,8,8,1,0.99980193,0.0020948227,11.243556,2.035813e-08,1.0,0.51917,0.26211196,0.10135449,0.38668245
197,clean,0,8,8,1,0.9949753,0.03957946,9.7779,1.6763806e-08,1.0,0.8171709,0.09867471,0.085687,0.86836976
198,clean,0,7,7,1,0.45141888,1.4067177,9.548063,-5.9604645e-08,0.6666667,0.38317248,0.33579066,0.10256489,0.30544204
199,clean,0,8,8,1,0.9999068,0.0011067888,10.419559,-8.694769e-09,1.0,0.5629123,0.16259827,0.054933522,0.33784607
200,clean,0,5,5,1,0.85164094,0.47520295,5.9623694,-1.4901161e-08,1.0,0.46616116,0.26691574,0.07010561,0.26264971
201,clean,0,1,0,0,0.8753901,0.3829402,16.048403,-1.4901161e-08,0.6666667,0.53716683,0.2924755,0.065487556,0.22390707
202,clean,0,8,8,1,0.997223,0.02028721,9.691016,1.5133992e-08,1.0,0.5208372,0.18576783,0.06616983,0.35619447
203,clean,0,7,7,1,0.6538632,1.052504,10.864142,-2.9802322e-08,1.0,0.35915542,0.2598108,0.1309644,0.50407404
204,clean,0,1,1,1,0.9992059,0.007507684,8.729954,2.4447218e-08,1.0,0.34698737,0.19062492,0.053423595,0.28025356
