sample_index,true_label,true_class,predicted_label,predicted_class,confidence,shift,severity
7879,3,cat,6,frog,0.99648917,noise,1
5202,9,truck,6,frog,0.9964803,rotation,5
4987,3,cat,6,frog,0.99646914,rotation,4
9061,7,horse,6,frog,0.9964677,rotation,5
6134,3,cat,6,frog,0.9964664,rotation,4
2219,5,dog,6,frog,0.9964579,rotation,4
2423,2,bird,6,frog,0.9964328,rotation,4
2851,4,deer,6,frog,0.9964311,rotation,4
8773,6,frog,2,bird,0.9964294,brightness,1
4031,4,deer,6,frog,0.9964281,rotation,4
3450,9,truck,1,automobile,0.9964259,clean,0
9217,9,truck,0,airplane,0.9964174,blur,2
2940,3,cat,0,airplane,0.99638855,contrast,2
7805,9,truck,6,frog,0.9963845,rotation,5
707,9,truck,6,frog,0.9963813,rotation,5
4529,4,deer,6,frog,0.99637467,rotation,4
9360,5,dog,0,airplane,0.99637234,clean,0
5940,7,horse,6,frog,0.9963509,rotation,5
7602,2,bird,6,frog,0.9963432,rotation,4
8961,0,airplane,6,frog,0.9963421,rotation,5
2405,3,cat,6,frog,0.996292,noise,2
3041,4,deer,6,frog,0.996292,rotation,4
6387,2,bird,6,frog,0.9962692,rotation,4
6498,4,deer,6,frog,0.9962607,rotation,3
7839,3,cat,4,deer,0.9962573,contrast,3
439,1,automobile,6,frog,0.99624556,rotation,5
155,5,dog,6,frog,0.99623054,noise,2
8932,6,frog,2,bird,0.9962243,brightness,4
5009,7,horse,2,bird,0.996219,rotation,1
9497,3,cat,6,frog,0.99621683,rotation,4
1835,0,airplane,6,frog,0.9962064,rotation,5
8720,2,bird,0,airplane,0.9961957,rotation,1
6093,2,bird,6,frog,0.9961875,rotation,4
4754,3,cat,6,frog,0.996179,rotation,4
503,4,deer,6,frog,0.9961655,rotation,5
155,5,dog,6,frog,0.9961628,rotation,4
4618,3,cat,6,frog,0.996157,noise,1
627,4,deer,6,frog,0.9961482,rotation,5
6095,9,truck,8,ship,0.99613523,contrast,4
8474,4,deer,6,frog,0.9961157,rotation,5
7916,4,deer,6,frog,0.9961118,rotation,5
5261,2,bird,6,frog,0.99608254,rotation,4
2866,9,truck,6,frog,0.9960576,rotation,5
7093,2,bird,6,frog,0.9960503,rotation,5
8299,3,cat,6,frog,0.9960425,rotation,4
8370,4,deer,6,frog,0.9960323,contrast,1
5942,4,deer,6,frog,0.99601716,rotation,4
2705,8,ship,0,airplane,0.9960169,clean,0
9643,9,truck,0,airplane,0.9959927,contrast,3
2911,1,automobile,6,frog,0.995987,rotation,4
2932,9,truck,6,frog,0.99598676,rotation,5
1684,1,automobile,8,ship,0.9959656,noise,1
1771,2,bird,6,frog,0.9959556,rotation,5
7604,1,automobile,6,frog,0.9959363,rotation,4
7830,2,bird,6,frog,0.9959168,rotation,4
1303,4,deer,6,frog,0.9959162,rotation,4
5289,4,deer,2,bird,0.9959053,brightness,1
6781,3,cat,6,frog,0.995867,rotation,4
5580,5,dog,6,frog,0.9958652,rotation,5
2940,3,cat,0,airplane,0.9958573,brightness,1
6849,4,deer,2,bird,0.9958176,blur,3
8067,8,ship,6,frog,0.9958118,rotation,4
4052,5,dog,6,frog,0.995811,noise,2
5281,3,cat,6,frog,0.9958016,rotation,5
1085,4,deer,6,frog,0.9957943,rotation,5
881,4,deer,6,frog,0.99579227,rotation,5
3989,2,bird,6,frog,0.99579066,rotation,4
9901,3,cat,6,frog,0.99578935,rotation,4
2327,1,automobile,6,frog,0.99577725,rotation,5
957,3,cat,6,frog,0.99576086,noise,2
7472,1,automobile,0,airplane,0.9957568,contrast,4
8729,5,dog,6,frog,0.99575436,rotation,4
7830,2,bird,6,frog,0.9957424,rotation,5
118,2,bird,6,frog,0.9957307,rotation,5
4685,4,deer,6,frog,0.9956937,rotation,4
8398,4,deer,6,frog,0.9956826,rotation,5
5029,3,cat,6,frog,0.9956729,rotation,4
5642,5,dog,4,deer,0.99563015,contrast,4
8452,4,deer,6,frog,0.9956181,rotation,4
5642,5,dog,4,deer,0.99561596,brightness,2
8938,1,automobile,6,frog,0.99561065,noise,2
5416,9,truck,1,automobile,0.9956001,contrast,3
8773,6,frog,2,bird,0.99558854,clean,0
794,7,horse,2,bird,0.9955811,rotation,5
731,2,bird,0,airplane,0.99556386,rotation,2
51,8,ship,6,frog,0.9955609,rotation,4
2629,2,bird,6,frog,0.9955329,rotation,5
5289,4,deer,2,bird,0.9955165,clean,0
2759,3,cat,6,frog,0.9955122,rotation,5
5638,4,deer,6,frog,0.99549377,rotation,5
1501,2,bird,6,frog,0.99548644,rotation,4
7490,4,deer,6,frog,0.99547845,rotation,5
7129,1,automobile,6,frog,0.99544585,rotation,5
3450,9,truck,1,automobile,0.99543977,brightness,1
5851,1,automobile,6,frog,0.9954234,rotation,4
4029,4,deer,6,frog,0.9954164,rotation,4
5511,3,cat,6,frog,0.99541616,rotation,3
2940,3,cat,0,airplane,0.9954117,rotation,2
2829,3,cat,6,frog,0.9953945,noise,2
3827,4,deer,6,frog,0.9953875,rotation,5
848,2,bird,6,frog,0.9953856,rotation,4
6357,7,horse,4,deer,0.9953799,noise,1
5289,4,deer,2,bird,0.99537814,contrast,1
5940,7,horse,6,frog,0.99536824,rotation,4
9896,4,deer,6,frog,0.9953622,rotation,5
7967,9,truck,6,frog,0.99534947,rotation,4
1491,4,deer,6,frog,0.99529344,noise,1
7174,3,cat,6,frog,0.99528754,rotation,4
7358,8,ship,6,frog,0.9952631,rotation,4
2807,9,truck,6,frog,0.9952603,rotation,4
5511,3,cat,6,frog,0.99525476,rotation,2
817,5,dog,6,frog,0.9952478,rotation,5
3524,5,dog,4,deer,0.9952415,blur,1
8536,1,automobile,0,airplane,0.99521494,contrast,3
3279,8,ship,0,airplane,0.9952122,rotation,1
5539,4,deer,6,frog,0.9952106,rotation,5
2293,8,ship,6,frog,0.99519956,rotation,5
8845,2,bird,6,frog,0.9951859,rotation,5
9087,3,cat,6,frog,0.99517196,rotation,5
1938,8,ship,0,airplane,0.9951638,clean,0
3299,0,airplane,6,frog,0.99516296,rotation,4
6424,8,ship,0,airplane,0.9951626,rotation,2
9731,2,bird,6,frog,0.995152,rotation,5
4960,4,deer,6,frog,0.9951461,rotation,5
1837,9,truck,6,frog,0.9951125,rotation,3
4237,1,automobile,6,frog,0.9951062,rotation,4
3292,4,deer,6,frog,0.9950958,rotation,4
7805,9,truck,6,frog,0.99507314,rotation,4
7641,7,horse,6,frog,0.99506855,rotation,4
9267,2,bird,6,frog,0.99506664,rotation,4
8312,9,truck,6,frog,0.9950582,rotation,5
9011,2,bird,6,frog,0.9950299,noise,1
2202,9,truck,6,frog,0.9950228,rotation,5
1628,4,deer,2,bird,0.9950197,blur,2
8683,7,horse,6,frog,0.99501723,rotation,5
8612,4,deer,6,frog,0.99498934,rotation,5
6757,4,deer,6,frog,0.9949856,rotation,4
8773,6,frog,2,bird,0.9949647,brightness,2
1075,8,ship,6,frog,0.99495775,rotation,5
5642,5,dog,4,deer,0.9949302,clean,0
8577,3,cat,6,frog,0.994902,rotation,4
716,3,cat,6,frog,0.99489754,rotation,5
458,4,deer,6,frog,0.99489415,rotation,4
5678,1,automobile,6,frog,0.9948881,rotation,4
91,3,cat,6,frog,0.99486595,rotation,5
5852,3,cat,6,frog,0.9948625,rotation,5
5511,3,cat,6,frog,0.9948618,noise,2
2092,1,automobile,6,frog,0.99485826,rotation,4
5642,5,dog,4,deer,0.9948494,contrast,3
6819,2,bird,6,frog,0.994849,rotation,4
312,8,ship,0,airplane,0.9948403,rotation,1
9909,1,automobile,6,frog,0.99483526,rotation,5
5736,9,truck,6,frog,0.9948259,rotation,5
5642,5,dog,4,deer,0.9948256,brightness,1
5134,5,dog,6,frog,0.9948237,rotation,4
7833,8,ship,0,airplane,0.99480826,rotation,1
5104,8,ship,6,frog,0.9948037,rotation,5
7248,4,deer,6,frog,0.9947935,rotation,4
2405,3,cat,6,frog,0.99478465,contrast,2
7391,4,deer,6,frog,0.99477166,rotation,5
2293,8,ship,6,frog,0.994769,rotation,4
4696,5,dog,6,frog,0.99476886,noise,2
689,0,airplane,6,frog,0.9947626,rotation,3
7270,9,truck,6,frog,0.994752,rotation,4
1493,1,automobile,6,frog,0.99473935,noise,2
8384,2,bird,6,frog,0.994735,noise,2
1325,2,bird,4,deer,0.99470055,clean,0
5233,1,automobile,6,frog,0.9946872,rotation,4
676,3,cat,6,frog,0.99468625,rotation,5
3524,5,dog,4,deer,0.99468565,contrast,4
4251,8,ship,0,airplane,0.9946794,rotation,1
6360,2,bird,6,frog,0.99467456,rotation,4
2261,3,cat,6,frog,0.9946707,rotation,4
2367,4,deer,6,frog,0.9946531,rotation,5
1916,9,truck,6,frog,0.99465066,rotation,5
8596,1,automobile,6,frog,0.99463934,rotation,4
9360,5,dog,0,airplane,0.9946201,blur,1
8099,3,cat,6,frog,0.9946021,rotation,4
4754,3,cat,6,frog,0.9946021,rotation,5
3299,0,airplane,6,frog,0.9945833,rotation,5
3443,4,deer,2,bird,0.99456656,blur,1
9817,9,truck,1,automobile,0.9945386,rotation,1
3443,4,deer,2,bird,0.99453825,blur,3
5289,4,deer,2,bird,0.99453497,brightness,2
9023,8,ship,6,frog,0.994534,rotation,4
8773,6,frog,2,bird,0.9945192,rotation,1
9506,4,deer,2,bird,0.9945098,blur,2
5795,7,horse,4,deer,0.99449426,noise,1
2632,3,cat,6,frog,0.99447423,rotation,5
51,8,ship,6,frog,0.99445045,rotation,5
2029,3,cat,6,frog,0.99445033,rotation,5
1325,2,bird,4,deer,0.99443465,brightness,1
4951,7,horse,6,frog,0.9944296,rotation,4
6467,3,cat,6,frog,0.994419,rotation,5
7604,1,automobile,6,frog,0.9944155,noise,2
2705,8,ship,0,airplane,0.99441093,brightness,1
971,4,deer,6,frog,0.9944041,rotation,4
5642,5,dog,4,deer,0.9944022,contrast,1
5009,7,horse,2,bird,0.99439776,brightness,3
8320,7,horse,6,frog,0.99436086,rotation,4
8301,5,dog,6,frog,0.99435693,rotation,4
1894,3,cat,6,frog,0.9943541,rotation,5
9475,2,bird,6,frog,0.9943441,rotation,5
4237,1,automobile,6,frog,0.9943409,rotation,5
7839,3,cat,4,deer,0.9943356,brightness,3
9503,2,bird,6,frog,0.9943288,rotation,4
7839,3,cat,4,deer,0.9943236,contrast,1
4250,1,automobile,6,frog,0.99432135,rotation,5
7662,5,dog,6,frog,0.9943176,noise,3
4484,4,deer,6,frog,0.99429953,rotation,5
5289,4,deer,2,bird,0.9942934,contrast,2
731,2,bird,0,airplane,0.99429286,rotation,1
4097,3,cat,6,frog,0.99428374,rotation,3
2807,9,truck,6,frog,0.9942781,rotation,5
1577,5,dog,6,frog,0.99427795,rotation,5
4878,7,horse,6,frog,0.994262,rotation,4
6838,1,automobile,6,frog,0.9942478,rotation,4
3513,3,cat,6,frog,0.99423814,rotation,4
6902,4,deer,6,frog,0.9942139,rotation,5
1325,2,bird,4,deer,0.9942116,contrast,1
3726,5,dog,6,frog,0.9941906,rotation,5
8773,6,frog,2,bird,0.9941847,blur,1
9542,1,automobile,6,frog,0.9941831,rotation,5
8900,2,bird,6,frog,0.9941818,rotation,5
5266,4,deer,6,frog,0.99416935,rotation,4
676,3,cat,6,frog,0.9941643,rotation,4
2059,9,truck,0,airplane,0.9941433,clean,0
7358,8,ship,6,frog,0.9941316,rotation,5
327,5,dog,6,frog,0.99412954,rotation,4
2176,1,automobile,6,frog,0.9941294,rotation,4
2512,2,bird,6,frog,0.9941269,noise,1
568,9,truck,6,frog,0.9941241,rotation,4
5642,5,dog,4,deer,0.99411327,contrast,2
2532,0,airplane,1,automobile,0.9941049,brightness,2
9113,1,automobile,6,frog,0.9940929,rotation,4
731,2,bird,0,airplane,0.99407464,clean,0
3450,9,truck,1,automobile,0.9940737,contrast,1
5678,1,automobile,6,frog,0.9940718,rotation,5
227,4,deer,6,frog,0.9940612,rotation,4
5637,7,horse,6,frog,0.9940414,rotation,5
5004,4,deer,6,frog,0.9940341,rotation,4
6238,8,ship,0,airplane,0.9939891,rotation,2
1491,4,deer,6,frog,0.9939883,rotation,2
4826,3,cat,6,frog,0.9939593,rotation,4
2405,3,cat,6,frog,0.9939414,brightness,3
3690,9,truck,6,frog,0.9939336,rotation,5
9506,4,deer,2,bird,0.99393094,blur,3
9697,8,ship,0,airplane,0.9939283,rotation,1
8224,3,cat,6,frog,0.9939074,noise,1
7417,3,cat,6,frog,0.99390405,rotation,4
7248,4,deer,6,frog,0.9939037,rotation,5
3041,4,deer,6,frog,0.9938963,rotation,5
6308,4,deer,6,frog,0.99388665,rotation,4
3726,5,dog,6,frog,0.9938782,rotation,4
8285,9,truck,6,frog,0.99387264,rotation,4
9989,2,bird,6,frog,0.9938651,rotation,5
2464,2,bird,6,frog,0.9938485,rotation,5
1162,7,horse,6,frog,0.9938414,rotation,4
7174,3,cat,6,frog,0.9938356,noise,2
4523,4,deer,6,frog,0.99383426,rotation,5
4331,2,bird,6,frog,0.9938287,noise,2
6769,3,cat,6,frog,0.9938186,rotation,5
5389,4,deer,6,frog,0.9938175,rotation,5
